ID,Year,Date,Time,Date and time,Civic number,Street of accident,Street direction,Corner street,Corner street direction,Intersections,Duplicate count,Geocoding address
694,2006,11/3/06,19:55,11/3/06 19:55,1208,ST DENIS,,RENE LEVESQUE,,ST DENIS & RENE LEVESQUE,2,"1208 ST DENIS , Montreal, Canada"
695,2006,11/6/06,6:30,11/6/06 6:30,,ST ANDRE,,ROBIN,,ST ANDRE & ROBIN,1,"ST ANDRE & ROBIN, Montreal, Canada"
696,2006,11/6/06,10:24,11/6/06 10:24,,AMHERST,,SHERBROOKE,,SHERBROOKE & AMHERST,2,"SHERBROOKE & AMHERST, Montreal, Canada"
697,2006,11/7/06,11:14,11/7/06 11:14,,UNIVERSITY,,SHERBROOKE,,UNIVERSITY & SHERBROOKE,1,"UNIVERSITY & SHERBROOKE, Montreal, Canada"
698,2006,11/7/06,14:12,11/7/06 14:12,,PANET,,STE CATHERINE,,STE CATHERINE & PANET,1,"STE CATHERINE & PANET, Montreal, Canada"
699,2006,11/8/06,17:50,11/8/06 17:50,,PEEL,,ST JACQUES,,ST JACQUES & PEEL,1,"ST JACQUES & PEEL, Montreal, Canada"
700,2006,11/8/06,18:50,11/8/06 18:50,,LAURIER,,ST DOMINIQUE,,ST DOMINIQUE & LAURIER,1,"ST DOMINIQUE & LAURIER, Montreal, Canada"
701,2006,11/10/06,17:00,11/10/06 17:00,,ST DENIS,,,,,,
702,2006,11/10/06,18:00,11/10/06 18:00,,ST DENIS,,SHERBROOKE,,ST DENIS & SHERBROOKE,6,"ST DENIS & SHERBROOKE, Montreal, Canada"
703,2006,11/10/06,18:25,11/10/06 18:25,13110,SHERBROOKE,,31E AV,,SHERBROOKE & 31E AV,1,"13110 SHERBROOKE , Montreal, Canada"
704,2006,11/11/06,23:43,11/11/06 23:43,,ATWATER,,ST ANTOINE,,ST ANTOINE & ATWATER,13,"ST ANTOINE & ATWATER, Montreal, Canada"
705,2006,11/12/06,,11/12/06 0:00,,DE L'EGLISE,,EDNA,,EDNA & DE L'EGLISE,1,"EDNA & DE L'EGLISE, Montreal, Canada"
706,2006,11/13/06,18:30,11/13/06 18:30,12113,54E AV,,MAURICE DUPLESSIS,,MAURICE DUPLESSIS & 54E AV,1,"12113 54E AV , Montreal, Canada"
707,2006,11/14/06,6:10,11/14/06 6:10,,CHERRIER,,ST ANDRE,,ST ANDRE & CHERRIER,11,"ST ANDRE & CHERRIER, Montreal, Canada"
708,2006,11/14/06,17:36,11/14/06 17:36,,ALPHONSE D ROY,,NOTRE DAME,,NOTRE DAME & ALPHONSE D ROY,1,"NOTRE DAME & ALPHONSE D ROY, Montreal, Canada"
709,2006,11/15/06,16:16,11/15/06 16:16,7055,NOTRE DAME,,,,,1,"7055 NOTRE DAME , Montreal, Canada"
710,2006,11/16/06,13:00,11/16/06 13:00,3031,WELLINGTON,,MAY,,WELLINGTON & MAY,1,"3031 WELLINGTON , Montreal, Canada"
711,2006,11/16/06,18:25,11/16/06 18:25,,10E AV,,VICTORIA,,VICTORIA & 10E AV,3,"VICTORIA & 10E AV, Montreal, Canada"
712,2006,11/16/06,18:30,11/16/06 18:30,,DE MONTIGNY,,32E AV,,DE MONTIGNY & 32E AV,1,"DE MONTIGNY & 32E AV, Montreal, Canada"
713,2006,11/17/06,16:59,11/17/06 16:59,4338,PAPINEAU,,,,,1,"4338 PAPINEAU , Montreal, Canada"
714,2006,11/19/06,9:25,11/19/06 9:25,,DU PARC,,MILTON,,MILTON & DU PARC,5,"MILTON & DU PARC, Montreal, Canada"
715,2006,11/20/06,14:40,11/20/06 14:40,,GUY,,DE MAISONNEUVE,,GUY & DE MAISONNEUVE,6,"GUY & DE MAISONNEUVE, Montreal, Canada"
716,2006,11/21/06,13:00,11/21/06 13:00,,EVERETT,,1RE AV,,EVERETT & 1RE AV,1,"EVERETT & 1RE AV, Montreal, Canada"
717,2006,11/22/06,11:05,11/22/06 11:05,,PAPINEAU,,BEAUBIEN,,PAPINEAU & BEAUBIEN,3,"PAPINEAU & BEAUBIEN, Montreal, Canada"
718,2006,11/22/06,11:30,11/22/06 11:30,,JEAN TALON,,14E AV,,JEAN TALON & 14E AV,1,"JEAN TALON & 14E AV, Montreal, Canada"
719,2006,11/22/06,14:00,11/22/06 14:00,4635,COTE STE CATHERINE,,LAVOIE,,LAVOIE & COTE STE CATHERINE,1,"4635 COTE STE CATHERINE , Montreal, Canada"
720,2006,11/23/06,10:00,11/23/06 10:00,,STE FAMILLE,,MILTON,,STE FAMILLE & MILTON,2,"STE FAMILLE & MILTON, Montreal, Canada"
721,2006,11/23/06,13:03,11/23/06 13:03,1025,BLEURY,,DE LA GAUCHETIERE,,DE LA GAUCHETIERE & BLEURY,3,"1025 BLEURY , Montreal, Canada"
722,2006,11/23/06,13:20,11/23/06 13:20,1100,CREMAZIE,,CHRISTOPHE COLOMB,,CREMAZIE & CHRISTOPHE COLOMB,22,"1100 CREMAZIE , Montreal, Canada"
723,2006,11/23/06,22:01,11/23/06 22:01,,PAPINEAU,,EVERETT,,PAPINEAU & EVERETT,1,"PAPINEAU & EVERETT, Montreal, Canada"
724,2006,11/25/06,10:50,11/25/06 10:50,6530,BOYER,,BEAUBIEN,,BOYER & BEAUBIEN,2,"6530 BOYER , Montreal, Canada"
725,2006,11/25/06,11:50,11/25/06 11:50,,ADAM,,DE CLEMENT,,DE CLEMENT & ADAM,1,"DE CLEMENT & ADAM, Montreal, Canada"
726,2006,11/25/06,14:49,11/25/06 14:49,,ST ROCH,,DUROCHER,,ST ROCH & DUROCHER,1,"ST ROCH & DUROCHER, Montreal, Canada"
727,2006,11/26/06,4:05,11/26/06 4:05,4377,ST DENIS,,MARIE ANNE,E,ST DENIS & MARIE ANNE,5,"4377 ST DENIS , Montreal, Canada"
728,2006,11/27/06,9:14,11/27/06 9:14,,MONT ROYAL,,DE LANAUDIERE,,MONT ROYAL & DE LANAUDIERE,2,"MONT ROYAL & DE LANAUDIERE, Montreal, Canada"
729,2006,11/27/06,13:00,11/27/06 13:00,,MONT ROYAL,,CAMILLIEN HOUDE,,MONT ROYAL & CAMILLIEN HOUDE,3,"MONT ROYAL & CAMILLIEN HOUDE, Montreal, Canada"
730,2006,11/27/06,16:19,11/27/06 16:19,,DES SCIENCES,,RAY LAWSON,,RAY LAWSON & DES SCIENCES,1,"RAY LAWSON & DES SCIENCES, Montreal, Canada"
731,2006,11/27/06,17:50,11/27/06 17:50,,BELLECHASSE,,LOUIS HEMON,,LOUIS HEMON & BELLECHASSE,2,"LOUIS HEMON & BELLECHASSE, Montreal, Canada"
732,2006,11/29/06,11:05,11/29/06 11:05,,LA FONTAINE,,AYLWIN,,LA FONTAINE & AYLWIN,2,"LA FONTAINE & AYLWIN, Montreal, Canada"
733,2006,11/29/06,15:25,11/29/06 15:25,,TRIANON,,SHERBROOKE,,TRIANON & SHERBROOKE,3,"TRIANON & SHERBROOKE, Montreal, Canada"
734,2006,11/29/06,17:20,11/29/06 17:20,,BELANGER,,ST MICHEL,,ST MICHEL & BELANGER,2,"ST MICHEL & BELANGER, Montreal, Canada"
735,2006,11/29/06,21:22,11/29/06 21:22,,NOTRE DAME,,ST PIERRE,,ST PIERRE & NOTRE DAME,3,"ST PIERRE & NOTRE DAME, Montreal, Canada"
736,2006,11/30/06,10:00,11/30/06 10:00,,SHERBROOKE,,DE LA MONTAGNE,,SHERBROOKE & DE LA MONTAGNE,3,"SHERBROOKE & DE LA MONTAGNE, Montreal, Canada"
737,2006,11/30/06,19:22,11/30/06 19:22,,HONORE BEAUGRAND,,DUBUISSON,,HONORE BEAUGRAND & DUBUISSON,1,"HONORE BEAUGRAND & DUBUISSON, Montreal, Canada"
738,2006,11/30/06,21:00,11/30/06 21:00,,MARQUETTE,,RACHEL,,RACHEL & MARQUETTE,5,"RACHEL & MARQUETTE, Montreal, Canada"
739,2006,11/30/06,21:23,11/30/06 21:23,,SHERBROOKE,,LAVAL,,SHERBROOKE & LAVAL,1,"SHERBROOKE & LAVAL, Montreal, Canada"
740,2006,12/1/06,9:10,12/1/06 9:10,,GILFORD,,BREBEUF,,GILFORD & BREBEUF,5,"GILFORD & BREBEUF, Montreal, Canada"
741,2006,12/2/06,2:03,12/2/06 2:03,,ROY,,ST DOMINIQUE,,ST DOMINIQUE & ROY,3,"ST DOMINIQUE & ROY, Montreal, Canada"
742,2006,12/2/06,21:16,12/2/06 21:16,,RACHEL,,FULLUM,,RACHEL & FULLUM,4,"RACHEL & FULLUM, Montreal, Canada"
743,2006,12/7/06,17:47,12/7/06 17:47,,COTE STE CATHERINE,,WISEMAN,,WISEMAN & COTE STE CATHERINE,3,"WISEMAN & COTE STE CATHERINE, Montreal, Canada"
744,2006,12/10/06,15:55,12/10/06 15:55,,ST GREGOIRE,,PRENOVEAU,,ST GREGOIRE & PRENOVEAU,1,"ST GREGOIRE & PRENOVEAU, Montreal, Canada"
745,2006,12/11/06,13:52,12/11/06 13:52,,RENE LEVESQUE,,METCALFE,,RENE LEVESQUE & METCALFE,2,"RENE LEVESQUE & METCALFE, Montreal, Canada"
746,2006,12/12/06,17:10,12/12/06 17:10,,HUTCHISON,,ST VIATEUR,,ST VIATEUR & HUTCHISON,1,"ST VIATEUR & HUTCHISON, Montreal, Canada"
747,2006,12/12/06,22:00,12/12/06 22:00,,SHERBROOKE,,HINGSTON,,SHERBROOKE & HINGSTON,2,"SHERBROOKE & HINGSTON, Montreal, Canada"
748,2006,12/16/06,0:35,12/16/06 0:35,,CHRISTOPHE COLOMB,,HENRI BOURASSA,,HENRI BOURASSA & CHRISTOPHE COLOMB,4,"HENRI BOURASSA & CHRISTOPHE COLOMB, Montreal, Canada"
749,2006,12/16/06,15:45,12/16/06 15:45,1777,ST HUBERT,,,,,1,"1777 ST HUBERT , Montreal, Canada"
750,2006,12/17/06,2:50,12/17/06 2:50,,ST DENIS,,MONT ROYAL,,ST DENIS & MONT ROYAL,6,"ST DENIS & MONT ROYAL, Montreal, Canada"
751,2006,12/20/06,14:35,12/20/06 14:35,,WELLINGTON,,GILBERTE DUBE,,WELLINGTON & GILBERTE DUBE,11,"WELLINGTON & GILBERTE DUBE, Montreal, Canada"
752,2006,12/20/06,15:00,12/20/06 15:00,,ST GREGOIRE,,CHRISTOPHE COLOMB,,ST GREGOIRE & CHRISTOPHE COLOMB,1,"ST GREGOIRE & CHRISTOPHE COLOMB, Montreal, Canada"
753,2006,12/20/06,20:00,12/20/06 20:00,,LACORDAIRE,,HENRI BOURASSA,,LACORDAIRE & HENRI BOURASSA,4,"LACORDAIRE & HENRI BOURASSA, Montreal, Canada"
754,2006,12/22/06,18:39,12/22/06 18:39,,ST DENIS,,BELLECHASSE,,ST DENIS & BELLECHASSE,6,"ST DENIS & BELLECHASSE, Montreal, Canada"
755,2006,12/29/06,10:38,12/29/06 10:38,,SHERBROOKE,,BEAUCLERK,,SHERBROOKE & BEAUCLERK,1,"SHERBROOKE & BEAUCLERK, Montreal, Canada"
756,2006,12/30/06,22:42,12/30/06 22:42,,PASCAL,,LAPIERRE,,PASCAL & LAPIERRE,1,"PASCAL & LAPIERRE, Montreal, Canada"
757,2007,1/4/07,,1/4/07 0:00,,VILLERAY,,PIE IX,,VILLERAY & PIE IX,1,"VILLERAY & PIE IX, Montreal, Canada"
758,2007,1/4/07,13:50,1/4/07 13:50,,PROVOST,,10E AV,,PROVOST & 10E AV,1,"PROVOST & 10E AV, Montreal, Canada"
759,2007,1/5/07,18:18,1/5/07 18:18,,DE SALABERRY,,DE POUTRINCOURT,,DE SALABERRY & DE POUTRINCOURT,2,"DE SALABERRY & DE POUTRINCOURT, Montreal, Canada"
760,2007,1/8/07,13:20,1/8/07 13:20,,DE MAISONNEUVE,,ST URBAIN,,ST URBAIN & DE MAISONNEUVE,7,"ST URBAIN & DE MAISONNEUVE, Montreal, Canada"
761,2007,1/8/07,17:00,1/8/07 17:00,,ST ZOTIQUE,,CHABOT,,ST ZOTIQUE & CHABOT,1,"ST ZOTIQUE & CHABOT, Montreal, Canada"
762,2007,1/9/07,12:40,1/9/07 12:40,,MOUNTAIN,,MONTROSE,,MOUNTAIN & MONTROSE,1,"MOUNTAIN & MONTROSE, Montreal, Canada"
763,2007,1/23/07,17:05,1/23/07 17:05,,ST LAURENT,,LAURIER,,ST LAURENT & LAURIER,3,"ST LAURENT & LAURIER, Montreal, Canada"
764,2007,1/29/07,7:54,1/29/07 7:54,,ST JOSEPH,,BOYER,,ST JOSEPH & BOYER,2,"ST JOSEPH & BOYER, Montreal, Canada"
765,2007,1/30/07,16:10,1/30/07 16:10,2120,GUY,,DE MAISONNEUVE,O,GUY & DE MAISONNEUVE,6,"2120 GUY , Montreal, Canada"
766,2007,2/1/07,12:10,2/1/07 12:10,,SAGARD,,BELANGER,,SAGARD & BELANGER,2,"SAGARD & BELANGER, Montreal, Canada"
767,2007,2/1/07,14:20,2/1/07 14:20,,ATWATER,,NOTRE DAME,,NOTRE DAME & ATWATER,3,"NOTRE DAME & ATWATER, Montreal, Canada"
768,2007,2/1/07,21:43,2/1/07 21:43,,DE BORDEAUX,,ST JOSEPH,,ST JOSEPH & DE BORDEAUX,2,"ST JOSEPH & DE BORDEAUX, Montreal, Canada"
769,2007,2/7/07,16:30,2/7/07 16:30,,MARIE ANNE,,MESSIER,,MESSIER & MARIE ANNE,2,"MESSIER & MARIE ANNE, Montreal, Canada"
770,2007,2/13/07,11:40,2/13/07 11:40,1339,ONTARIO,,PANET,,PANET & ONTARIO,4,"1339 ONTARIO , Montreal, Canada"
771,2007,2/14/07,6:46,2/14/07 6:46,,BERRI,,RACHEL,,RACHEL & BERRI,2,"RACHEL & BERRI, Montreal, Canada"
772,2007,2/16/07,8:20,2/16/07 8:20,,CANARDIERE,,BUREAU,,CANARDIERE & BUREAU,2,"CANARDIERE & BUREAU, Montreal, Canada"
773,2007,2/16/07,8:20,2/16/07 8:20,,CANARDIERE,,BUREAU,,CANARDIERE & BUREAU,2,"CANARDIERE & BUREAU, Montreal, Canada"
774,2007,2/19/07,6:15,2/19/07 6:15,10555,HENRI BOURASSA,,,,,1,"10555 HENRI BOURASSA , Montreal, Canada"
775,2007,2/26/07,17:30,2/26/07 17:30,,LASALLE,,GORDON,,LASALLE & GORDON,1,"LASALLE & GORDON, Montreal, Canada"
776,2007,2/26/07,18:30,2/26/07 18:30,,PAPINEAU,,ONTARIO,,PAPINEAU & ONTARIO,9,"PAPINEAU & ONTARIO, Montreal, Canada"
777,2007,3/1/07,17:20,3/1/07 17:20,,BERRI,,CHERRIER,,CHERRIER & BERRI,4,"CHERRIER & BERRI, Montreal, Canada"
778,2007,3/5/07,20:15,3/5/07 20:15,,LA FONTAINE,,MOREAU,,MOREAU & LA FONTAINE,1,"MOREAU & LA FONTAINE, Montreal, Canada"
779,2007,3/14/07,17:52,3/14/07 17:52,,BLEURY,,RENE LEVESQUE,,RENE LEVESQUE & BLEURY,3,"RENE LEVESQUE & BLEURY, Montreal, Canada"
780,2007,3/16/07,8:43,3/16/07 8:43,,ILE DES SOEURS,,RENE LEVESQUE,,RENE LEVESQUE & ILE DES SOEURS,2,"RENE LEVESQUE & ILE DES SOEURS, Montreal, Canada"
781,2007,3/27/07,21:15,3/27/07 21:15,,CHERRIER,,SHERBROOKE,,SHERBROOKE & CHERRIER,2,"SHERBROOKE & CHERRIER, Montreal, Canada"
782,2007,3/28/07,18:00,3/28/07 18:00,,SHERBROOKE,,VICTORIA,,VICTORIA & SHERBROOKE,5,"VICTORIA & SHERBROOKE, Montreal, Canada"
783,2007,3/29/07,16:05,3/29/07 16:05,2055,MANSFIELD,,PRESIDENT KENNEDY,,PRESIDENT KENNEDY & MANSFIELD,1,"2055 MANSFIELD , Montreal, Canada"
784,2007,3/30/07,18:10,3/30/07 18:10,,ST URBAIN,,VILLENEUVE,,VILLENEUVE & ST URBAIN,6,"VILLENEUVE & ST URBAIN, Montreal, Canada"
785,2007,3/31/07,19:25,3/31/07 19:25,,GREENE,,SHERBROOKE,,SHERBROOKE & GREENE,1,"SHERBROOKE & GREENE, Montreal, Canada"
786,2007,4/3/07,13:40,4/3/07 13:40,,HENRI BOURASSA,,GARON,,HENRI BOURASSA & GARON,1,"HENRI BOURASSA & GARON, Montreal, Canada"
787,2007,4/6/07,9:56,4/6/07 9:56,2172,STE CATHERINE,O,,,,1,"2172 STE CATHERINE O, Montreal, Canada"
788,2007,4/6/07,14:20,4/6/07 14:20,5151,PAPINEAU,,LAURIER,,PAPINEAU & LAURIER,3,"5151 PAPINEAU , Montreal, Canada"
789,2007,4/10/07,9:05,4/10/07 9:05,,ATWATER,,STE EMILIE,,STE EMILIE & ATWATER,1,"STE EMILIE & ATWATER, Montreal, Canada"
790,2007,4/10/07,12:00,4/10/07 12:00,,SHERBROOKE,,AYLMER,,SHERBROOKE & AYLMER,2,"SHERBROOKE & AYLMER, Montreal, Canada"
791,2007,4/11/07,18:00,4/11/07 18:00,,DE LORIMIER,,MASSON,,MASSON & DE LORIMIER,3,"MASSON & DE LORIMIER, Montreal, Canada"
792,2007,4/12/07,15:00,4/12/07 15:00,2190,PEEL,,,,,1,"2190 PEEL , Montreal, Canada"
793,2007,4/18/07,7:45,4/18/07 7:45,,GOUIN,,WAVERLY,,WAVERLY & GOUIN,1,"WAVERLY & GOUIN, Montreal, Canada"
794,2007,4/18/07,17:30,4/18/07 17:30,,CHRISTOPHE COLOMB,,MISTRAL,,MISTRAL & CHRISTOPHE COLOMB,4,"MISTRAL & CHRISTOPHE COLOMB, Montreal, Canada"
795,2007,4/19/07,7:15,4/19/07 7:15,12930,GOUIN,E,,,,1,"12930 GOUIN E, Montreal, Canada"
796,2007,4/19/07,9:00,4/19/07 9:00,,LA FONTAINE,,CUVILLIER,,LA FONTAINE & CUVILLIER,1,"LA FONTAINE & CUVILLIER, Montreal, Canada"
797,2007,4/19/07,11:50,4/19/07 11:50,,SOULIGNY,,HONORE BEAUGRAND,,SOULIGNY & HONORE BEAUGRAND,1,"SOULIGNY & HONORE BEAUGRAND, Montreal, Canada"
798,2007,4/19/07,12:20,4/19/07 12:20,,UNIVERSITY,,PRESIDENT KENNEDY,,UNIVERSITY & PRESIDENT KENNEDY,1,"UNIVERSITY & PRESIDENT KENNEDY, Montreal, Canada"
799,2007,4/19/07,12:25,4/19/07 12:25,,ONTARIO,,FRONTENAC,,ONTARIO & FRONTENAC,2,"ONTARIO & FRONTENAC, Montreal, Canada"
800,2007,4/19/07,15:00,4/19/07 15:00,,LAKESHORE,,MORGAN,,MORGAN & LAKESHORE,2,"MORGAN & LAKESHORE, Montreal, Canada"
801,2007,4/19/07,20:15,4/19/07 20:15,,MARQUETTE,,RACHEL,,RACHEL & MARQUETTE,5,"RACHEL & MARQUETTE, Montreal, Canada"
802,2007,4/20/07,13:30,4/20/07 13:30,12101,STE GERTRUDE,,GOUIN,,STE GERTRUDE & GOUIN,2,"12101 STE GERTRUDE , Montreal, Canada"
803,2007,4/20/07,13:30,4/20/07 13:30,12101,STE GERTRUDE,,GOUIN,,STE GERTRUDE & GOUIN,2,"12101 STE GERTRUDE , Montreal, Canada"
804,2007,4/20/07,17:20,4/20/07 17:20,,PAPINEAU,,MONT ROYAL,,PAPINEAU & MONT ROYAL,13,"PAPINEAU & MONT ROYAL, Montreal, Canada"
805,2007,4/21/07,18:15,4/21/07 18:15,,JOLIETTE,,LA FONTAINE,,LA FONTAINE & JOLIETTE,1,"LA FONTAINE & JOLIETTE, Montreal, Canada"
806,2007,4/22/07,2:00,4/22/07 2:00,,TERRITOIRE DE LA VILLE DE MONTREAL,,,,,,
807,2007,4/22/07,16:24,4/22/07 16:24,,BELLERIVE,,DUVERNAY,,DUVERNAY & BELLERIVE,1,"DUVERNAY & BELLERIVE, Montreal, Canada"
808,2007,4/22/07,17:18,4/22/07 17:18,,MONT ROYAL,,PAPINEAU,,PAPINEAU & MONT ROYAL,13,"PAPINEAU & MONT ROYAL, Montreal, Canada"
809,2007,4/23/07,8:00,4/23/07 8:00,,ST DENIS,,GUIZOT,,ST DENIS & GUIZOT,1,"ST DENIS & GUIZOT, Montreal, Canada"
810,2007,4/23/07,14:15,4/23/07 14:15,,DE MAISONNEUVE,,CLARK,,DE MAISONNEUVE & CLARK,2,"DE MAISONNEUVE & CLARK, Montreal, Canada"
811,2007,4/23/07,17:05,4/23/07 17:05,,BELLEVILLE,,PIERREFONDS,,PIERREFONDS & BELLEVILLE,1,"PIERREFONDS & BELLEVILLE, Montreal, Canada"
812,2007,4/24/07,8:25,4/24/07 8:25,,JEAN TALON,,LAJEUNESSE,,LAJEUNESSE & JEAN TALON,2,"LAJEUNESSE & JEAN TALON, Montreal, Canada"
813,2007,4/24/07,13:50,4/24/07 13:50,,JEAN TALON,,DE NOGENT,,JEAN TALON & DE NOGENT,1,"JEAN TALON & DE NOGENT, Montreal, Canada"
814,2007,4/24/07,15:55,4/24/07 15:55,5901,IRWIN,,NEWMAN,,NEWMAN & IRWIN,1,"5901 IRWIN , Montreal, Canada"
815,2007,4/24/07,16:05,4/24/07 16:05,4240,BEAUBIEN,,24E AV,,BEAUBIEN & 24E AV,1,"4240 BEAUBIEN , Montreal, Canada"
816,2007,4/25/07,16:00,4/25/07 16:00,2223,DOLLARD,,,,,1,"2223 DOLLARD , Montreal, Canada"
817,2007,4/25/07,17:40,4/25/07 17:40,,LAJEUNESSE,,CREMAZIE,,LAJEUNESSE & CREMAZIE,2,"LAJEUNESSE & CREMAZIE, Montreal, Canada"
818,2007,4/26/07,15:30,4/26/07 15:30,,20E AV,,ST ZOTIQUE,,ST ZOTIQUE & 20E AV,1,"ST ZOTIQUE & 20E AV, Montreal, Canada"
819,2007,4/28/07,17:05,4/28/07 17:05,,DE LILLE,,SAUVE,,SAUVE & DE LILLE,1,"SAUVE & DE LILLE, Montreal, Canada"
820,2007,4/30/07,13:00,4/30/07 13:00,,ONTARIO,E,DE LA SALLE,,ONTARIO & DE LA SALLE,2,"ONTARIO & DE LA SALLE, Montreal, Canada"
821,2007,4/30/07,13:10,4/30/07 13:10,,ST LAURENT,,STE EMILIE,,STE EMILIE & ST LAURENT,1,"STE EMILIE & ST LAURENT, Montreal, Canada"
822,2007,5/1/07,7:30,5/1/07 7:30,,GOUIN,,RIVE BOISEE,,RIVE BOISEE & GOUIN,1,"RIVE BOISEE & GOUIN, Montreal, Canada"
823,2007,5/1/07,15:35,5/1/07 15:35,1052,81E AV,,RAOUL DERY,,RAOUL DERY & 81E AV,1,"1052 81E AV , Montreal, Canada"
824,2007,5/1/07,16:12,5/1/07 16:12,,MONT ROYAL,,DU PARC,,MONT ROYAL & DU PARC,7,"MONT ROYAL & DU PARC, Montreal, Canada"
825,2007,5/1/07,17:00,5/1/07 17:00,,MARCEL LAURIN,,ST LOUIS,,ST LOUIS & MARCEL LAURIN,2,"ST LOUIS & MARCEL LAURIN, Montreal, Canada"
826,2007,5/1/07,17:30,5/1/07 17:30,,CHERRIER,,ST HUBERT,,ST HUBERT & CHERRIER,3,"ST HUBERT & CHERRIER, Montreal, Canada"
827,2007,5/1/07,18:45,5/1/07 18:45,,ST ZOTIQUE,,21E AV,,ST ZOTIQUE & 21E AV,2,"ST ZOTIQUE & 21E AV, Montreal, Canada"
828,2007,5/2/07,8:50,5/2/07 8:50,,AV DULUTH,,DROLET,,DROLET & AV DULUTH,1,"DROLET & AV DULUTH, Montreal, Canada"
829,2007,5/2/07,11:10,5/2/07 11:10,1480,MONTCALM,,DE MAISONNEUVE,,MONTCALM & DE MAISONNEUVE,1,"1480 MONTCALM , Montreal, Canada"
830,2007,5/2/07,14:30,5/2/07 14:30,,JEAN TALON,,VALDOMBRE,,VALDOMBRE & JEAN TALON,1,"VALDOMBRE & JEAN TALON, Montreal, Canada"
831,2007,5/2/07,18:50,5/2/07 18:50,,DE LA GAUCHETIERE,E,SANGUINET,,SANGUINET & DE LA GAUCHETIERE,1,"SANGUINET & DE LA GAUCHETIERE, Montreal, Canada"
832,2007,5/3/07,8:15,5/3/07 8:15,,DE LA COMMUNE,,MILLS,,MILLS & DE LA COMMUNE,1,"MILLS & DE LA COMMUNE, Montreal, Canada"
833,2007,5/3/07,10:00,5/3/07 10:00,,GUY,,SHERBROOKE,O,SHERBROOKE & GUY,1,"SHERBROOKE & GUY, Montreal, Canada"
834,2007,5/3/07,11:40,5/3/07 11:40,,PARC GEORGES,,INDUSTRIEL,,PARC GEORGES & INDUSTRIEL,1,"PARC GEORGES & INDUSTRIEL, Montreal, Canada"
835,2007,5/3/07,21:40,5/3/07 21:40,,ST HUBERT,,JARRY,,ST HUBERT & JARRY,1,"ST HUBERT & JARRY, Montreal, Canada"
836,2007,5/4/07,15:34,5/4/07 15:34,,HAUTBOIS,,BOUDARD,,HAUTBOIS & BOUDARD,1,"HAUTBOIS & BOUDARD, Montreal, Canada"
837,2007,5/4/07,16:17,5/4/07 16:17,,SHERBROOKE,,MONTGOMERY,,SHERBROOKE & MONTGOMERY,2,"SHERBROOKE & MONTGOMERY, Montreal, Canada"
838,2007,5/4/07,20:30,5/4/07 20:30,,FAIRMOUNT,,ESPLANADE,,FAIRMOUNT & ESPLANADE,1,"FAIRMOUNT & ESPLANADE, Montreal, Canada"
839,2007,5/5/07,13:00,5/5/07 13:00,4855,PIERRE DE COUBERTIN,,LECLAIRE,,PIERRE DE COUBERTIN & LECLAIRE,1,"4855 PIERRE DE COUBERTIN , Montreal, Canada"
840,2007,5/6/07,6:50,5/6/07 6:50,,BELLECHASSE,,BORDEAUX,,BORDEAUX & BELLECHASSE,1,"BORDEAUX & BELLECHASSE, Montreal, Canada"
841,2007,5/6/07,10:26,5/6/07 10:26,,GERVAIS,,CHARLEROI,,GERVAIS & CHARLEROI,1,"GERVAIS & CHARLEROI, Montreal, Canada"
842,2007,5/6/07,15:15,5/6/07 15:15,,THIMENS,,DOBRIN,,THIMENS & DOBRIN,1,"THIMENS & DOBRIN, Montreal, Canada"
843,2007,5/6/07,22:30,5/6/07 22:30,,LA FONTAINE,,D'ORLEANS,,LA FONTAINE & D'ORLEANS,3,"LA FONTAINE & D'ORLEANS, Montreal, Canada"
844,2007,5/7/07,16:30,5/7/07 16:30,,CREMAZIE,,ST MICHEL,,ST MICHEL & CREMAZIE,4,"ST MICHEL & CREMAZIE, Montreal, Canada"
845,2007,5/8/07,10:40,5/8/07 10:40,,D'ORLEANS,,LA FONTAINE,,LA FONTAINE & D'ORLEANS,3,"LA FONTAINE & D'ORLEANS, Montreal, Canada"
846,2007,5/8/07,23:00,5/8/07 23:00,5766,EADIE,,,,,1,"5766 EADIE , Montreal, Canada"
847,2007,5/9/07,6:55,5/9/07 6:55,,JOLICOEUR,,VERENDRYE,,VERENDRYE & JOLICOEUR,1,"VERENDRYE & JOLICOEUR, Montreal, Canada"
848,2007,5/9/07,15:14,5/9/07 15:14,,D'IBERVILLE,,ST JOSEPH,,ST JOSEPH & D'IBERVILLE,2,"ST JOSEPH & D'IBERVILLE, Montreal, Canada"
849,2007,5/9/07,16:15,5/9/07 16:15,,RAYMOND,,LEVIS SAUVE,,RAYMOND & LEVIS SAUVE,1,"RAYMOND & LEVIS SAUVE, Montreal, Canada"
850,2007,5/10/07,18:15,5/10/07 18:15,1556,LAJOIE,,MCEACHRAN,,MCEACHRAN & LAJOIE,1,"1556 LAJOIE , Montreal, Canada"
851,2007,5/10/07,19:50,5/10/07 19:50,,DE SALABERRY,,MONTEVISTA,,MONTEVISTA & DE SALABERRY,1,"MONTEVISTA & DE SALABERRY, Montreal, Canada"
852,2007,5/10/07,20:21,5/10/07 20:21,,BANNANTYNE,,DE L'EGLISE,,DE L'EGLISE & BANNANTYNE,1,"DE L'EGLISE & BANNANTYNE, Montreal, Canada"
